C,3,"[2016-10-18 08:00:00,2016-10-18 08:20:00)",121.737
C,3,"[2016-10-18 08:20:00,2016-10-18 08:40:00)",150.04
C,3,"[2016-10-18 08:40:00,2016-10-18 09:00:00)",157.418
C,3,"[2016-10-18 09:00:00,2016-10-18 09:20:00)",146.595
C,3,"[2016-10-18 09:20:00,2016-10-18 09:40:00)",119.418
C,3,"[2016-10-18 09:40:00,2016-10-18 10:00:00)",132.211
C,3,"[2016-10-18 17:00:00,2016-10-18 17:20:00)",136.475
C,3,"[2016-10-18 17:20:00,2016-10-18 17:40:00)",153.905
C,3,"[2016-10-18 17:40:00,2016-10-18 18:00:00)",191.976
C,3,"[2016-10-18 18:00:00,2016-10-18 18:20:00)",158.14
C,3,"[2016-10-18 18:20:00,2016-10-18 18:40:00)",259.506
C,3,"[2016-10-18 18:40:00,2016-10-18 19:00:00)",214.781
C,3,"[2016-10-19 08:00:00,2016-10-19 08:20:00)",153.128
C,3,"[2016-10-19 08:20:00,2016-10-19 08:40:00)",126.137
C,3,"[2016-10-19 08:40:00,2016-10-19 09:00:00)",173.052
C,3,"[2016-10-19 09:00:00,2016-10-19 09:20:00)",161.909
C,3,"[2016-10-19 09:20:00,2016-10-19 09:40:00)",177.587
C,3,"[2016-10-19 09:40:00,2016-10-19 10:00:00)",172.222
C,3,"[2016-10-19 17:00:00,2016-10-19 17:20:00)",190.408
C,3,"[2016-10-19 17:20:00,2016-10-19 17:40:00)",176.335
C,3,"[2016-10-19 17:40:00,2016-10-19 18:00:00)",173.195
C,3,"[2016-10-19 18:00:00,2016-10-19 18:20:00)",199.811
C,3,"[2016-10-19 18:20:00,2016-10-19 18:40:00)",225.273
C,3,"[2016-10-19 18:40:00,2016-10-19 19:00:00)",233.962
C,3,"[2016-10-20 08:00:00,2016-10-20 08:20:00)",135.784
C,3,"[2016-10-20 08:20:00,2016-10-20 08:40:00)",125.161
C,3,"[2016-10-20 08:40:00,2016-10-20 09:00:00)",154.086
C,3,"[2016-10-20 09:00:00,2016-10-20 09:20:00)",160.011
C,3,"[2016-10-20 09:20:00,2016-10-20 09:40:00)",166.752
C,3,"[2016-10-20 09:40:00,2016-10-20 10:00:00)",178.813
C,3,"[2016-10-20 17:00:00,2016-10-20 17:20:00)",176.947
C,3,"[2016-10-20 17:20:00,2016-10-20 17:40:00)",209.957
