A,2,"[2016-10-18 08:00:00,2016-10-18 08:20:00)",95.8316
A,2,"[2016-10-18 08:20:00,2016-10-18 08:40:00)",61.4047
A,2,"[2016-10-18 08:40:00,2016-10-18 09:00:00)",71.0558
A,2,"[2016-10-18 09:00:00,2016-10-18 09:20:00)",73.6455
A,2,"[2016-10-18 09:20:00,2016-10-18 09:40:00)",65.7489
A,2,"[2016-10-18 09:40:00,2016-10-18 10:00:00)",61.6189
A,2,"[2016-10-18 17:00:00,2016-10-18 17:20:00)",77.1096
A,2,"[2016-10-18 17:20:00,2016-10-18 17:40:00)",86.2202
A,2,"[2016-10-18 17:40:00,2016-10-18 18:00:00)",112.504
A,2,"[2016-10-18 18:00:00,2016-10-18 18:20:00)",69.539
A,2,"[2016-10-18 18:20:00,2016-10-18 18:40:00)",48.5358
A,2,"[2016-10-18 18:40:00,2016-10-18 19:00:00)",59.3791
A,2,"[2016-10-19 08:00:00,2016-10-19 08:20:00)",67.079
A,2,"[2016-10-19 08:20:00,2016-10-19 08:40:00)",76.2537
A,2,"[2016-10-19 08:40:00,2016-10-19 09:00:00)",78.3467
A,2,"[2016-10-19 09:00:00,2016-10-19 09:20:00)",81.9817
A,2,"[2016-10-19 09:20:00,2016-10-19 09:40:00)",52.0089
A,2,"[2016-10-19 09:40:00,2016-10-19 10:00:00)",58.3282
A,2,"[2016-10-19 17:00:00,2016-10-19 17:20:00)",73.063
A,2,"[2016-10-19 17:20:00,2016-10-19 17:40:00)",76.9522
A,2,"[2016-10-19 17:40:00,2016-10-19 18:00:00)",61.1564
A,2,"[2016-10-19 18:00:00,2016-10-19 18:20:00)",70.2958
A,2,"[2016-10-19 18:20:00,2016-10-19 18:40:00)",56.6952
A,2,"[2016-10-19 18:40:00,2016-10-19 19:00:00)",56.5204
A,2,"[2016-10-20 08:00:00,2016-10-20 08:20:00)",89.9067
A,2,"[2016-10-20 08:20:00,2016-10-20 08:40:00)",73.4846
A,2,"[2016-10-20 08:40:00,2016-10-20 09:00:00)",80.3186
A,2,"[2016-10-20 09:00:00,2016-10-20 09:20:00)",96.2951
